/home/jck/vulture-test/keystone/keystone/api/_shared/EC2_S3_Resource.py:39: unused variable 'cred_ref' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/oauth1/core.py:35: unused variable 'SIG_HMAC' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/oauth1/core.py:37: unused variable 'oRequest' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:154: unused variable 'redirect_uri' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:158: unused variable 'realms' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:166: unused variable 'uri' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:167: unused variable 'realms' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:181: unused variable 'realms' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/server/flask/common.py:584: unused variable 'instance' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/server/flask/common.py:584: unused variable 'owner' (100% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/server/flask/common.py:597: unused variable 'method_decorators' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/server/flask/request_processing/middleware/auth_context.py:238: unused variable 'kwargs_to_fetch_token' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/server/flask/request_processing/middleware/auth_context.py:375: unused attribute 'is_admin_project' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/server/flask/request_processing/middleware/auth_context.py:380: unused attribute 'oauth_consumer_id' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/server/flask/request_processing/middleware/auth_context.py:383: unused attribute 'oauth_access_token_id' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/server/wsgi.py:29: unused variable 'initialize_admin_application' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/trust/backends/sql.py:42: unused variable 'impersonation' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/trust/backends/sql.py:47: unused variable 'redelegated_trust_id' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/trust/backends/sql.py:48: unused variable 'redelegation_count' (60% confidence, 1 line)
/home/jck/vulture-test/keystone/keystone/assignment/core.py:1308: unused method '_is_immutable' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/common/cache/core.py:63: unused method 'is_invalidated' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/common/cache/core.py:66: unused method 'was_hard_invalidated' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/common/cache/core.py:69: unused method 'is_hard_invalidated' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/common/cache/core.py:72: unused method 'was_soft_invalidated' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/common/cache/core.py:75: unused method 'is_soft_invalidated' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/common/rbac_enforcer/policy.py:27: unused function 'reset' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/common/sql/core.py:123: unused method 'process_bind_param' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/exception.py:493: unused class 'VersionNotFound' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/exception.py:635: unused class 'ConfigFileNotFound' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/common.py:1111: unused function 'register_handler' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/core.py:46: unused method 'set_verifier' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:44: unused method 'check_client_key' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:47: unused method 'check_request_token' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:50: unused method 'check_access_token' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:77: unused method 'get_realms' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:181: unused method 'verify_realms' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:187: unused method 'save_access_token' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:196: unused method 'save_request_token' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/version.py:14: unused function 'release_string' (60% confidence, 2 lines)
/home/jck/vulture-test/keystone/keystone/api/auth.py:370: unused method 'post' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/api/auth.py:388: unused method 'post' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/common/context.py:19: unused function '_prop' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:30: unused property 'enforce_ssl' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:53: unused method 'check_nonce' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:57: unused method 'check_verifier' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:61: unused method 'get_client_secret' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:65: unused method 'get_request_token_secret' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:69: unused method 'get_access_token_secret' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:73: unused method 'get_default_realms' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:80: unused method 'get_redirect_uri' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:84: unused method 'get_rsa_key' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:154: unused method 'validate_redirect_uri' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:158: unused method 'validate_requested_realms' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:177: unused method 'verify_request_token' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/resource/core.py:288: unused method '_is_immutable' (60% confidence, 3 lines)
/home/jck/vulture-test/keystone/keystone/common/rbac_enforcer/enforcer.py:230: unused method '_extract_policy_check_credentials' (60% confidence, 4 lines)
/home/jck/vulture-test/keystone/keystone/common/resource_options/core.py:115: unused property 'options_by_name' (60% confidence, 4 lines)
/home/jck/vulture-test/keystone/keystone/common/sql/core.py:126: unused method 'process_result_value' (60% confidence, 4 lines)
/home/jck/vulture-test/keystone/keystone/common/sql/core.py:269: unused function 'cleanup' (60% confidence, 4 lines)
/home/jck/vulture-test/keystone/keystone/assignment/backends/sql.py:333: unused method 'list_system_grants_by_role' (60% confidence, 5 lines)
/home/jck/vulture-test/keystone/keystone/common/provider_api.py:65: unused method '_clear_registry_instances' (60% confidence, 5 lines)
/home/jck/vulture-test/keystone/keystone/common/resource_options/core.py:131: unused method 'get_option_by_name' (60% confidence, 5 lines)
/home/jck/vulture-test/keystone/keystone/common/sql/core.py:262: unused function 'enable_sqlite_foreign_key' (60% confidence, 5 lines)
/home/jck/vulture-test/keystone/keystone/endpoint_policy/backends/sql.py:125: unused method 'delete_association_by_service' (60% confidence, 5 lines)
/home/jck/vulture-test/keystone/keystone/endpoint_policy/backends/sql.py:131: unused method 'delete_association_by_region' (60% confidence, 5 lines)
/home/jck/vulture-test/keystone/keystone/endpoint_policy/backends/sql.py:137: unused method 'delete_association_by_policy' (60% confidence, 5 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:123: unused method 'validate_client_key' (60% confidence, 5 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:139: unused method 'validate_access_token' (60% confidence, 5 lines)
/home/jck/vulture-test/keystone/keystone/resource/config_backends/sql.py:90: unused method 'get_config_option' (60% confidence, 5 lines)
/home/jck/vulture-test/keystone/keystone/api/os_ep_filter.py:132: unused method 'put' (60% confidence, 6 lines)
/home/jck/vulture-test/keystone/keystone/assignment/core.py:90: unused method 'list_user_ids_for_project' (60% confidence, 6 lines)
/home/jck/vulture-test/keystone/keystone/auth/plugins/external.py:63: unused class 'DefaultDomain' (60% confidence, 6 lines)
/home/jck/vulture-test/keystone/keystone/identity/core.py:315: unused method 'get_domain_conf' (60% confidence, 6 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:170: unused method 'validate_verifier' (60% confidence, 6 lines)
/home/jck/vulture-test/keystone/keystone/api/os_ep_filter.py:216: unused method 'put' (60% confidence, 7 lines)
/home/jck/vulture-test/keystone/keystone/api/regions.py:82: unused method 'patch' (60% confidence, 7 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/caching.py:20: unused function 'symptom_caching_disabled' (60% confidence, 7 lines)
/home/jck/vulture-test/keystone/keystone/notifications.py:384: unused function 'clear_subscribers' (60% confidence, 7 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:162: unused method 'validate_realms' (60% confidence, 7 lines)
/home/jck/vulture-test/keystone/keystone/server/flask/request_processing/middleware/auth_context.py:245: unused method 'fetch_token' (60% confidence, 7 lines)
/home/jck/vulture-test/keystone/keystone/api/limits.py:115: unused method 'patch' (60% confidence, 8 lines)
/home/jck/vulture-test/keystone/keystone/api/os_federation.py:143: unused method 'patch' (60% confidence, 8 lines)
/home/jck/vulture-test/keystone/keystone/api/os_federation.py:413: unused method 'post' (60% confidence, 8 lines)
/home/jck/vulture-test/keystone/keystone/api/services.py:48: unused method 'post' (60% confidence, 8 lines)
/home/jck/vulture-test/keystone/keystone/api/services.py:57: unused method 'patch' (60% confidence, 8 lines)
/home/jck/vulture-test/keystone/keystone/assignment/backends/base.py:173: unused method 'list_system_grants_by_role' (60% confidence, 8 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/caching.py:29: unused function 'symptom_caching_enabled_without_a_backend' (60% confidence, 8 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/federation.py:19: unused function 'symptom_comma_in_SAML_public_certificate_path' (60% confidence, 8 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/federation.py:29: unused function 'symptom_comma_in_SAML_private_key_file_path' (60% confidence, 8 lines)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/core.py:333: unused method 'is_user' (60% confidence, 8 lines)
/home/jck/vulture-test/keystone/keystone/notifications.py:393: unused function 'reset_notifier' (60% confidence, 8 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/core.py:40: unused class 'Token' (60% confidence, 8 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:145: unused method 'validate_timestamp_and_nonce' (60% confidence, 8 lines)
/home/jck/vulture-test/keystone/keystone/api/endpoints.py:102: unused method 'patch' (60% confidence, 9 lines)
/home/jck/vulture-test/keystone/keystone/api/os_ep_filter.py:95: unused method 'patch' (60% confidence, 9 lines)
/home/jck/vulture-test/keystone/keystone/api/policy.py:133: unused method 'put' (60% confidence, 9 lines)
/home/jck/vulture-test/keystone/keystone/api/policy.py:166: unused method 'put' (60% confidence, 9 lines)
/home/jck/vulture-test/keystone/keystone/api/system.py:78: unused method 'put' (60% confidence, 9 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/ldap.py:25: unused function 'symptom_LDAP_user_enabled_emulation_dn_ignored' (60% confidence, 9 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/ldap.py:36: unused function 'symptom_LDAP_user_enabled_emulation_use_group_config_ignored' (60% confidence, 9 lines)
/home/jck/vulture-test/keystone/keystone/common/rbac_enforcer/policy.py:31: unused function 'get_enforcer' (60% confidence, 9 lines)
/home/jck/vulture-test/keystone/keystone/models/revoke_model.py:66: unused function 'blank_token_data' (60% confidence, 9 lines)
/home/jck/vulture-test/keystone/keystone/models/revoke_model.py:282: unused method 'deserialize' (60% confidence, 9 lines)
/home/jck/vulture-test/keystone/keystone/oauth1/validator.py:129: unused method 'validate_request_token' (60% confidence, 9 lines)
/home/jck/vulture-test/keystone/keystone/api/endpoints.py:91: unused method 'post' (60% confidence, 10 lines)
/home/jck/vulture-test/keystone/keystone/api/os_oauth1.py:102: unused method 'post' (60% confidence, 10 lines)
/home/jck/vulture-test/keystone/keystone/api/os_oauth1.py:127: unused method 'patch' (60% confidence, 10 lines)
/home/jck/vulture-test/keystone/keystone/api/policy.py:200: unused method 'put' (60% confidence, 10 lines)
/home/jck/vulture-test/keystone/keystone/api/registered_limits.py:67: unused method 'patch' (60% confidence, 10 lines)
/home/jck/vulture-test/keystone/keystone/api/roles.py:252: unused method 'put' (60% confidence, 10 lines)
/home/jck/vulture-test/keystone/keystone/api/system.py:127: unused method 'put' (60% confidence, 10 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/debug.py:19: unused function 'symptom_debug_mode_is_enabled' (60% confidence, 10 lines)
/home/jck/vulture-test/keystone/keystone/endpoint_policy/backends/base.py:130: unused method 'delete_association_by_service' (60% confidence, 10 lines)
/home/jck/vulture-test/keystone/keystone/endpoint_policy/backends/base.py:141: unused method 'delete_association_by_region' (60% confidence, 10 lines)
/home/jck/vulture-test/keystone/keystone/endpoint_policy/backends/base.py:152: unused method 'delete_association_by_policy' (60% confidence, 10 lines)
/home/jck/vulture-test/keystone/keystone/models/token_model.py:243: unused property 'trust_project_domain' (60% confidence, 10 lines)
/home/jck/vulture-test/keystone/keystone/resource/backends/sql.py:97: unused method 'list_project_ids_from_domain_ids' (60% confidence, 10 lines)
/home/jck/vulture-test/keystone/keystone/api/limits.py:103: unused method 'post' (60% confidence, 11 lines)
/home/jck/vulture-test/keystone/keystone/api/os_federation.py:361: unused method 'patch' (60% confidence, 11 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/database.py:19: unused function 'symptom_database_connection_is_not_SQLite' (60% confidence, 11 lines)
/home/jck/vulture-test/keystone/keystone/resource/backends/base.py:171: unused method '_validate_default_domain' (60% confidence, 11 lines)
/home/jck/vulture-test/keystone/keystone/api/domains.py:132: unused method 'patch' (60% confidence, 12 lines)
/home/jck/vulture-test/keystone/keystone/api/domains.py:342: unused method 'put' (60% confidence, 12 lines)
/home/jck/vulture-test/keystone/keystone/api/domains.py:403: unused method 'put' (60% confidence, 12 lines)
/home/jck/vulture-test/keystone/keystone/api/groups.py:199: unused method 'put' (60% confidence, 12 lines)
/home/jck/vulture-test/keystone/keystone/api/os_federation.py:211: unused method 'put' (60% confidence, 12 lines)
/home/jck/vulture-test/keystone/keystone/api/os_federation.py:224: unused method 'patch' (60% confidence, 12 lines)
/home/jck/vulture-test/keystone/keystone/api/os_federation.py:275: unused method 'put' (60% confidence, 12 lines)
/home/jck/vulture-test/keystone/keystone/api/os_federation.py:288: unused method 'patch' (60% confidence, 12 lines)
/home/jck/vulture-test/keystone/keystone/api/registered_limits.py:54: unused method 'post' (60% confidence, 12 lines)
/home/jck/vulture-test/keystone/keystone/api/s3tokens.py:90: unused method 'post' (60% confidence, 12 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/ldap.py:47: unused function 'symptom_LDAP_group_members_are_ids_disabled' (60% confidence, 12 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/security_compliance.py:53: unused function 'symptom_password_regular_expression_description_not_set' (60% confidence, 12 lines)
/home/jck/vulture-test/keystone/keystone/common/sql/core.py:163: unused method 'process_result_value' (60% confidence, 12 lines)
/home/jck/vulture-test/keystone/keystone/identity/backends/ldap/core.py:401: unused method 'list_user_groups' (60% confidence, 12 lines)
/home/jck/vulture-test/keystone/keystone/api/domains.py:195: unused method 'patch' (60% confidence, 13 lines)
/home/jck/vulture-test/keystone/keystone/api/ec2tokens.py:61: unused method 'post' (60% confidence, 13 lines)
/home/jck/vulture-test/keystone/keystone/api/os_ep_filter.py:81: unused method 'post' (60% confidence, 13 lines)
/home/jck/vulture-test/keystone/keystone/api/policy.py:77: unused method 'patch' (60% confidence, 13 lines)
/home/jck/vulture-test/keystone/keystone/api/regions.py:50: unused method 'post' (60% confidence, 13 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/security_compliance.py:21: unused function 'symptom_minimum_password_age_greater_than_expires_days' (60% confidence, 13 lines)
/home/jck/vulture-test/keystone/keystone/identity/core.py:322: unused method 'reload_domain_driver' (60% confidence, 13 lines)
/home/jck/vulture-test/keystone/keystone/limit/models/flat.py:16: unused class 'FlatModel' (60% confidence, 13 lines)
/home/jck/vulture-test/keystone/keystone/resource/backends/base.py:72: unused method 'list_project_ids_from_domain_ids' (60% confidence, 13 lines)
/home/jck/vulture-test/keystone/keystone/api/auth.py:397: unused method 'post' (60% confidence, 14 lines)
/home/jck/vulture-test/keystone/keystone/api/discovery.py:87: unused function 'get_version_v3' (60% confidence, 14 lines)
/home/jck/vulture-test/keystone/keystone/api/os_federation.py:128: unused method 'put' (60% confidence, 14 lines)
/home/jck/vulture-test/keystone/keystone/api/os_federation.py:346: unused method 'put' (60% confidence, 14 lines)
/home/jck/vulture-test/keystone/keystone/api/policy.py:62: unused method 'post' (60% confidence, 14 lines)
/home/jck/vulture-test/keystone/keystone/api/projects.py:246: unused method 'put' (60% confidence, 14 lines)
/home/jck/vulture-test/keystone/keystone/common/sql/core.py:148: unused method 'process_bind_param' (60% confidence, 14 lines)
/home/jck/vulture-test/keystone/keystone/identity/id_generators/sha256.py:19: unused class 'Generator' (60% confidence, 14 lines)
/home/jck/vulture-test/keystone/keystone/models/receipt_model.py:133: unused method 'deserialize' (60% confidence, 14 lines)
/home/jck/vulture-test/keystone/keystone/models/token_model.py:601: unused method 'deserialize' (60% confidence, 14 lines)
/home/jck/vulture-test/keystone/keystone/api/groups.py:112: unused method 'patch' (60% confidence, 15 lines)
/home/jck/vulture-test/keystone/keystone/api/roles.py:211: unused method 'head' (60% confidence, 15 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/credential.py:43: unused function 'symptom_usability_of_credential_fernet_key_repository' (60% confidence, 15 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/security_compliance.py:36: unused function 'symptom_invalid_password_regular_expression' (60% confidence, 15 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/tokens_fernet.py:21: unused function 'symptom_usability_of_Fernet_key_repository' (60% confidence, 15 lines)
/home/jck/vulture-test/keystone/keystone/resource/config_backends/base.py:50: unused method 'get_config_option' (60% confidence, 15 lines)
/home/jck/vulture-test/keystone/keystone/api/groups.py:95: unused method 'post' (60% confidence, 16 lines)
/home/jck/vulture-test/keystone/keystone/api/os_inherit.py:123: unused method 'put' (60% confidence, 16 lines)
/home/jck/vulture-test/keystone/keystone/api/os_inherit.py:194: unused method 'put' (60% confidence, 16 lines)
/home/jck/vulture-test/keystone/keystone/api/os_inherit.py:265: unused method 'put' (60% confidence, 16 lines)
/home/jck/vulture-test/keystone/keystone/api/os_inherit.py:318: unused method 'put' (60% confidence, 16 lines)
/home/jck/vulture-test/keystone/keystone/api/projects.py:380: unused method 'put' (60% confidence, 16 lines)
/home/jck/vulture-test/keystone/keystone/api/projects.py:453: unused method 'put' (60% confidence, 16 lines)
/home/jck/vulture-test/keystone/keystone/api/roles.py:102: unused method 'post' (60% confidence, 16 lines)
/home/jck/vulture-test/keystone/keystone/api/users.py:249: unused method 'patch' (60% confidence, 16 lines)
/home/jck/vulture-test/keystone/keystone/api/users.py:285: unused method 'post' (60% confidence, 16 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/credential.py:60: unused function 'symptom_keys_in_credential_fernet_key_repository' (60% confidence, 16 lines)
/home/jck/vulture-test/keystone/keystone/cmd/doctor/tokens_fernet.py:38: unused function 'symptom_keys_in_Fernet_key_repository' (60% confidence, 16 lines)
